n=3                   Ve            Va          Eabs          Erel
pi            3.14159265    3.14159265    0.00000000    0.00000000
e             2.71828183    2.71828183    0.00000000    0.00000000
pi/e          1.15572735    1.15572735    0.00000000    0.00000000
sen(pi/e)     0.91508851    0.91562495   -0.00053644   -0.00058622
cos(pi/e)     0.40325305    0.40648505   -0.00323200   -0.00801482
tg(pi/e)      2.26926617    2.25254273    0.01672344    0.00736954

n=10                  Ve            Va          Eabs          Erel
pi            3.14159265    3.14159265    0.00000000    0.00000000
e             2.71828183    2.71828183    0.00000000    0.00000000
pi/e          1.15572735    1.15572735    0.00000000    0.00000000
sen(pi/e)     0.91508851    0.91508851   -0.00000000   -0.00000000
cos(pi/e)     0.40325305    0.40325305    0.00000000    0.00000000
tg(pi/e)      2.26926617    2.26926617    0.00000000    0.00000000

